Issue key,Issue id,Parent id,Epic Name,Epic Link,Labels,Labels,Issue Type,Priority,Summary,Acceptance Criteria,Story Points,Assignee,Status,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Due Date,Created,Updated,Resolved
EFDDH-919,7865043,,,EFDDH-37,RegDHGCPRel29Aug,,Story,Highest,ARF223:BRS: 223 - Prod Sanity testing,,5,geesalan,Closed,BP: EFDDH Sprint 5,BP: EFDDH Sprint 7,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,18/07/2024,04/09/2024,09/09/2024,09/09/2024
EFDDH-918,7865020,,,EFDDH-983,RegDHGCPRel29Aug,,Story,Highest,ARF223:Prod-Bugs: 223 -BQ Translator issue for xfm_in_CAP_CLVR_112_OFI_CL,,2,jillelam,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,18/07/2024,04/09/2024,26/09/2024,12/09/2024
EFDDH-917,7861773,,,EFDDH-3,RegDHGCPRel29Aug,,Story,Highest,ARF223:Prod-Bugs: 223 - Prod-bug - Macro to compare lhs and rhs with same case,,1,xavierl,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,18/07/2024,03/09/2024,10/09/2024,10/09/2024
EFDDH-916,7860047,,,EFDDH-9,RegDHGCPRel29Aug,,Story,Low,Local Development Setup:  Composer Airflow Setup with DAG factory ,,5,mahajaa4,To Do,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,,,,,,,,,,,,,,,03/09/2024,13/11/2024,
EFDDH-915,7860205,,,EFDDH-3,RegDHGCPRel29Aug,,Story,Highest,ARF223:Prod-Bugs: 223 - Prod-bug - CLVR Proc not populating data,,1,dabkea,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,18/07/2024,03/09/2024,11/09/2024,11/09/2024
EFDDH-914,7854135,,,,RegDHGCPRel29Aug,,Story,Low,SWG Integration with Codefresh and Testing,,1,mahajaa4,Story Done,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,,,,,,,,,,,,,,,,,02/09/2024,02/09/2024,02/09/2024
EFDDH-913,7854118,,,,RegDHGCPRel29Aug,,Story,Low,Dry Run Plan and Implementation in  Pre- Production environment,,5,mahajaa4,Story Done,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,,,,,,,,,,,,,,,,,02/09/2024,03/09/2024,03/09/2024
EFDDH-912,7854267,,,EFDDH-3,RegDHGCPRel29Aug,,Story,Highest,ARF223: FLAT : 223 - dbt loom issue,,1,mahajaa4,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,18/07/2024,02/09/2024,11/09/2024,11/09/2024
EFDDH-911,7849030,,,EFDDH-3,EFDDH-BP-MVPREL1,,Story,Low,Updating the confluence page with the latest changes ,,5,agarwr11,Story Done,BP: EFDDH Sprint 3,BP: EFDDH Sprint 4,BP: EFDDH Sprint 8,BP: EFDDH Sprint 9,BP: EFDDH Sprint 10,BP: EFDDH Sprint 11,BP: EFDDH Sprint 12,BP: EFDDH Sprint 13,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,,,,,,,,,18/07/2024,30/08/2024,16/09/2024,16/09/2024
EFDDH-910,7848750,,,EFDDH-37,,,Story,High,ARF223:Build: Airflow local installation and execution,,5,mahajaa4,Closed,BP: EFDDH Sprint 14,BP: EFDDH Sprint 15,BP: EFDDH Sprint 16,BP: EFDDH Sprint 19,,,,,,,,,,,,,,,06/09/2024,30/08/2024,13/11/2024,13/11/2024
